latitude,longitude,norm_score,raw_score
34.05010424100044,-118.2926890439997,2.6000000000000001,1.8
34.010973121000461,-118.34158773599972,3.0,2.0
34.028883233000442,-118.35308896599969,1.0,1.0
34.030773311000473,-118.31686899999971,3.0,2.0
34.105463955000459,-118.29236751399969,2.0,1.5
34.028292313000463,-118.40269589399969,3.0,2.0
34.068892044000449,-118.35077742299967,2.3999999999999999,1.7
33.986732336000443,-118.33290641599967,4.0,2.5
34.097151960000474,-118.35826821299969,3.0,2.0
34.062113836000492,-118.27713826999968,3.7999999999999998,2.3999999999999999
33.927010235000466,-118.24839605799968,3.0,2.0
33.923030210000491,-118.27377957999971,3.0,2.0
34.002152760000456,-118.4290396619997,4.0,2.5
33.922030858000483,-118.14007941599971,4.0,2.5
33.891893900000468,-118.29849831699971,4.5999999999999996,2.7999999999999998
33.875443709000479,-118.28237834699968,1.0,1.0
33.900501357000451,-118.31913709299971,1.0,1.0
33.91415336400047,-118.34715803299969,3.5999999999999996,2.2999999999999998
33.889130477000492,-118.3522981749997,3.0,2.0
33.988500753000437,-118.1889476929997,1.0,1.0
33.957442653000442,-118.43916786999972,3.0,2.0
33.956721382000467,-118.35448805799967,3.0,2.0
34.017603599000438,-118.49296772799971,3.0,2.0
33.831633019000492,-118.2928193949997,3.5999999999999996,2.2999999999999998
33.839953705000482,-118.35390582699972,3.5999999999999996,2.2999999999999998
33.943703746000438,-117.99197990399972,3.0,2.0
33.931802776000438,-117.95265760399968,4.0,2.5
33.902673859000458,-118.00708748799968,2.0,1.5
33.991333696000481,-118.09123720999969,4.5999999999999996,2.7999999999999998
33.344162507000476,-118.32659746699971,3.0,2.0
33.885441567000441,-118.1283087969997,3.5999999999999996,2.2999999999999998
33.798954232000483,-118.06819999099969,3.0,2.0
33.761191790000453,-118.08841730099971,3.0,2.0
33.769351710000478,-118.18452882299971,3.0,2.0
33.793562081000459,-118.12236917399969,4.0,2.5
34.209961338000483,-118.23087699599972,3.0,2.0
34.112050984000462,-118.15473946499969,3.0,2.0
34.25460192400044,-118.2872577869997,4.0,2.5
34.163721789000476,-118.15519568999969,4.0,2.5
34.169170426000449,-118.29181569799971,4.0,2.5
34.163613164000481,-118.2649592199997,1.0,1.0
34.153793452000457,-118.2372076689997,4.0,2.5
34.228570997000475,-118.2469491709997,3.0,2.0
34.197812702000476,-118.63800835599972,3.0,2.0
34.25282047300044,-118.5950275619997,4.0,2.5
