latitude,longtitude,norm_score,raw_score
34.07572239300049,-118.30301712299968,0.025889967637540454,20.0
34.05010424100044,-118.2926890439997,0.18899676375404531,120.8
34.010973121000461,-118.34158773599972,0.15372168284789645,99.0
34.007901202000482,-118.25903697699971,0.11245954692556634,73.5
34.040123763000452,-118.26498963499972,0.043689320388349516,31.0
34.028883233000442,-118.35308896599969,0.1982200647249191,126.5
34.052302813000438,-118.26338632799968,0.055825242718446605,38.5
34.030773311000473,-118.31686899999971,0.16699029126213594,107.2
34.048844189000476,-118.33610868499972,0.16731391585760519,107.40000000000001
34.024181938000481,-118.20195663999971,0.08139158576051779,54.299999999999997
34.045181349000472,-118.45025632399972,0.16262135922330098,104.5
34.076873820000458,-118.26535895999967,0.13187702265372167,85.5
34.105463955000459,-118.29236751399969,0.26537216828478966,168.0
34.089891456000487,-118.29490934299969,0.14482200647249191,93.5
34.077521225000453,-118.21310592399971,0.47896440129449835,300.0
34.048561764000453,-118.2115199969997,0.12378640776699029,80.5
34.028292313000463,-118.40269589399969,0.14401294498381878,93.0
34.054210271000443,-118.38387767499972,0.073948220064724929,49.700000000000003
34.068892044000449,-118.35077742299967,0.17200647249190937,110.3
34.003491021000457,-118.28709702299972,0.15372168284789645,99.0
34.111603448000494,-118.26125727499971,0.1796116504854369,115.0
34.135383663000482,-118.20684911499967,0.083656957928802594,55.700000000000003
34.113324071000477,-118.19142869099971,0.127831715210356,83.0
33.986732336000443,-118.33290641599967,0.084142394822006472,56.0
33.953862368000443,-118.2919460489997,0.07281553398058252,49.0
34.097151960000474,-118.35826821299969,0.12459546925566344,81.0
34.073163185000453,-118.37406665299972,0.18446601941747573,118.0
34.061722786000473,-118.4722594319997,0.11003236245954692,72.0
34.062113836000492,-118.27713826999968,0.1622977346278317,104.3
33.927010235000466,-118.24839605799968,0.23462783171521034,149.0
33.923030210000491,-118.27377957999971,0.2313915857605178,147.0
34.108813955000471,-118.22766603799971,0.13915857605177995,90.0
34.002152760000456,-118.4290396619997,0.10922330097087378,71.5
33.969582599000489,-118.17504801999968,0.1622977346278317,104.3
33.912033001000452,-118.23502647699968,0.15372168284789645,99.0
33.99506171100046,-118.39500957899969,0.13349514563106796,86.5
34.019702237000445,-118.39595678999967,0.027508090614886731,21.0
33.956204327000478,-118.11982734499969,0.10679611650485436,70.0
33.940492787000437,-118.13166748599969,0.31391585760517798,198.0
33.922030858000483,-118.14007941599971,0.30825242718446599,194.5
33.891893900000468,-118.29849831699971,0.1354368932038835,87.700000000000003
33.875443709000479,-118.28237834699968,0.074433656957928807,50.0
33.900501357000451,-118.31913709299971,0.15372168284789645,99.0
33.91415336400047,-118.34715803299969,0.15097087378640775,97.299999999999997
33.978672351000455,-118.21899775099968,0.15372168284789645,99.0
33.889130477000492,-118.3522981749997,0.088996763754045305,59.0
33.925120157000492,-118.20319931099971,0.13802588996763754,89.299999999999997
33.988500753000437,-118.1889476929997,0.20873786407766989,133.0
33.763103593000437,-118.3666584179997,0.038834951456310676,28.0
33.944963797000469,-118.19748997399972,0.15372168284789645,99.0
33.957442653000442,-118.43916786999972,0.15372168284789645,99.0
33.956721382000467,-118.35448805799967,0.10728155339805825,70.299999999999997
33.973753804000467,-118.35768598199968,0.12944983818770225,84.0
34.017603599000438,-118.49296772799971,0.071197411003236247,48.0
34.02842266300047,-118.49353692399967,0.10032362459546926,66.0
34.027840433000449,-118.4747187049997,0.16974110032362461,108.90000000000001
34.010130190000439,-118.4726765529997,0.062297734627831718,42.5
33.831633019000492,-118.2928193949997,0.31197411003236247,196.80000000000001
33.839953705000482,-118.35390582699972,0.14789644012944986,95.400000000000006
33.811450469000476,-118.34787930399972,0.1250809061488673,81.299999999999997
33.971251081000446,-118.03505628899967,0.10760517799352751,70.5
33.943703746000438,-117.99197990399972,0.25242718446601942,160.0
33.945880594000471,-118.03256659999971,0.029126213592233011,22.0
33.976391222000473,-118.06602748799969,0.17233009708737865,110.5
33.84278230300049,-118.0123492889997,0.18932038834951456,121.0
33.870373088000463,-117.99698969499968,0.043689320388349516,31.0
33.931802776000438,-117.95265760399968,0.14320388349514562,92.5
33.902673859000458,-118.00708748799968,0.18851132686084143,120.5
34.014032005000445,-118.11318817799969,0.2354368932038835,149.5
33.906210694000492,-118.08204752299969,0.15388349514563107,99.099999999999994
33.991333696000481,-118.09123720999969,0.17071197411003236,109.5
33.800961625000468,-117.99328774999969,0.087378640776699032,58.0
33.866310508000481,-118.08104817099968,0.28640776699029125,181.0
33.344162507000476,-118.32659746699971,0.0,4.0
33.885441567000441,-118.1283087969997,0.13559870550161812,87.799999999999997
33.793801056000461,-118.3173599859997,0.089805825242718448,59.5
33.798954232000483,-118.06819999099969,0.30744336569579289,194.0
33.895374250000486,-118.16535865799972,0.17475728155339806,112.0
33.732723314000452,-118.29229799399968,0.127831715210356,83.0
33.739462417000482,-118.31340603099972,0.12750809061488672,82.799999999999997
33.761191790000453,-118.08841730099971,0.31391585760517798,198.0
33.799762404000489,-118.16687940999969,0.088996763754045305,59.0
33.769351710000478,-118.18452882299971,0.31067961165048541,196.0
33.76151332100045,-118.1374897929997,0.15210355987055016,98.0
33.781730631000471,-118.15235840199972,0.14563106796116504,94.0
33.862812779000478,-118.17910625599967,0.20339805825242716,129.69999999999999
33.801483026000483,-118.18919970399969,0.15372168284789645,99.0
33.832502020000447,-118.18131786399971,0.16957928802588995,108.8
33.813562142000478,-118.21653847799968,0.13915857605177995,90.0
33.781374341000458,-118.18660573499972,0.08462783171521035,56.299999999999997
