id,latitude,longitude,norm_score
0,34.07572239300049,-118.30301712299968,1
2,34.01097312100046,-118.34158773599972,1
3,34.00790120200048,-118.25903697699971,2
4,34.04012376300045,-118.26498963499972,1
5,34.02888323300044,-118.35308896599969,2
6,34.05230281300044,-118.26338632799968,1
10,34.04518134900047,-118.45025632399972,2
11,34.07687382000046,-118.26535895999967,2
12,34.10546395500046,-118.2923675139997,2
14,34.07752122500045,-118.2131059239997,1
16,34.02829231300046,-118.40269589399969,2
19,34.00349102100046,-118.28709702299972,1
20,34.111603448000494,-118.2612572749997,2
22,34.11332407100048,-118.19142869099971,2
23,33.98673233600044,-118.33290641599967,2
24,33.95386236800044,-118.2919460489997,1
25,34.097151960000474,-118.35826821299969,1
26,34.07316318500045,-118.37406665299972,2
28,33.927010235000466,-118.24839605799968,1
29,33.92303021000049,-118.27377957999971,2
30,34.10881395500047,-118.22766603799971,1
33,33.91203300100045,-118.23502647699968,1
35,33.95620432700048,-118.11982734499969,1
36,33.94049278700044,-118.13166748599969,1
37,33.92203085800048,-118.14007941599971,2
39,33.87544370900048,-118.28237834699968,1
40,33.90050135700045,-118.31913709299971,1
42,33.978672351000455,-118.21899775099968,1
43,33.88913047700049,-118.3522981749997,1
45,33.98850075300044,-118.1889476929997,1
46,33.94496379700047,-118.19748997399972,1
47,33.95744265300044,-118.43916786999972,1
49,33.97375380400047,-118.35768598199968,2
50,34.01760359900044,-118.49296772799971,1
51,34.02842266300047,-118.49353692399967,1
53,34.01013019000044,-118.4726765529997,2
58,33.94370374600044,-117.99197990399972,1
59,33.94588059400047,-118.03256659999971,1
60,33.97639122200047,-118.06602748799969,2
61,33.84278230300049,-118.0123492889997,2
62,33.87037308800046,-117.99698969499968,1
63,33.93180277600044,-117.95265760399968,2
64,33.90267385900046,-118.00708748799968,2
65,34.014032005000445,-118.11318817799969,2
68,33.80096162500047,-117.9932877499997,1
69,33.86631050800048,-118.08104817099968,2
70,33.344162507000476,-118.32659746699971,1
72,33.79380105600046,-118.3173599859997,2
73,33.79895423200048,-118.06819999099969,1
75,33.73272331400045,-118.29229799399968,1
77,33.76119179000045,-118.08841730099971,1
78,33.76935171000048,-118.18452882299971,1
79,33.76151332100045,-118.1374897929997,1
84,33.81356214200048,-118.21653847799968,1
86,33.771432968000454,-118.15235840199972,2
87,33.79356208100046,-118.12236917399969,2
88,34.127784249000456,-118.0531358559997,1
90,34.14363048400048,-118.0038982539997,1
91,34.20996133800048,-118.23087699599972,2
92,34.11205098400046,-118.1547394649997,1
94,34.25460192400044,-118.2872577869997,2
