latitude,longitude,label,image
34.05010424100044,-118.2926890439997,high,high
34.028883233000442,-118.35308896599969,high,high
34.052302813000438,-118.26338632799968,high,high
34.045181349000472,-118.45025632399972,high,high
34.077521225000453,-118.21310592399971,high,high
34.073163185000453,-118.37406665299972,high,high
33.940492787000437,-118.13166748599969,high,high
33.900501357000451,-118.31913709299971,high,high
33.978672351000455,-118.21899775099968,high,high
33.988500753000437,-118.1889476929997,high,high
33.763103593000437,-118.3666584179997,high,high
33.799762404000489,-118.16687940999969,high,high
33.769351710000478,-118.18452882299971,high,high
33.771432968000454,-118.15235840199972,high,high
34.209961338000483,-118.23087699599972,high,high
34.112050984000462,-118.15473946499969,high,high
34.259702961000471,-118.3244988299997,high,high
34.198073403000478,-118.59909883299969,high,high
34.221923138000477,-118.60967892099967,high,high
34.151381974000458,-118.83569741699972,high,high
34.199811405000446,-118.48688906499967,high,high
34.153063491000466,-118.43295885699968,high,high
34.166150648000439,-118.39933720499971,high,high
34.115861554000446,-117.77047586899971,high,high
34.044181998000454,-117.7523962999997,high,high
33.093051605000483,-117.24851904799971,high,high
32.85864290200044,-116.9208882529997,high,high
32.846442127000444,-116.98605899099971,high,high
32.763100577000444,-117.20166685299972,high,high
32.679880686000445,-117.04990884599971,high,high
33.712853604000486,-116.23375604799969,high,high
34.032932779000475,-117.31366805999971,high,high
34.126424262000455,-117.4595689999997,high,high
33.567191639000441,-117.22158870399971,high,high
33.670563665000486,-117.84295924999969,high,high
33.607882616000438,-117.7234368389997,high,high
33.501112796000484,-117.6601387989997,high,high
33.791963119000457,-117.79896606899968,high,high
34.228922942000452,-119.05144866499973,high,high
34.204504011000438,-119.17665868899968,high,high
34.440320495000492,-119.7349962399997,high,high
34.432803635000482,-119.63572589899968,high,high
35.392780461000484,-119.1193958609997,high,high
35.548240412000439,-120.69792766899968,high,high
36.82311282100045,-119.68246946799968,high,high
36.858072735000462,-119.75801607999972,high,high
36.530320280000467,-121.88491799699972,high,high
37.683241420000456,-122.47749853699969,high,high
37.353564128000471,-122.08848584899971,high,high
37.450861836000456,-122.18339814899969,high,high
37.621464131000494,-122.48581922299968,high,high
37.445113393000497,-122.15400853199969,high,high
37.814673491000462,-121.98534845399968,high,high
38.265580782000484,-122.0311795719997,high,high
37.530453646000467,-121.96953697899971,high,high
37.635733129000471,-122.10689998199967,high,high
37.974000498000464,-122.3392361169997,high,high
37.896850579000443,-122.53310591799971,high,high
38.098280690000479,-122.58080973199969,high,high
36.976474134000455,-121.95491603499971,high,high
37.321232942000449,-122.03792736599968,high,high
37.016752336000479,-121.58123687199969,high,high
37.242692622000447,-121.95783587899967,high,high
37.348680341000488,-121.95376895399971,high,high
37.342931899000462,-121.8848267519997,high,high
37.352251936000471,-121.85195678499969,high,high
37.257474331000481,-121.92301934999972,high,high
37.316053695000448,-121.93662790799971,high,high
37.30792418900046,-121.99735804899973,high,high
37.813191844000471,-121.21355816199969,high,high
37.700860417000456,-121.02346851699969,high,high
37.521281340000485,-120.8490382709997,high,high
38.654432704000499,-121.26269582899971,high,high
38.550400237000474,-121.45904662799973,high,high
38.496252778000496,-121.53017871299971,high,high
39.725880645000473,-121.81731840099968,high,high
40.550493169000447,-122.33718961899973,high,high
40.618031935000488,-122.35252748899973,high,high
40.456962580000493,-122.31797600499971,high,high
