latitude,longitude,norm_score,raw_score
34.07572239300049,-118.30301712299968,0.0,0.0
34.05010424100044,-118.2926890439997,0.0,0.0
34.010973121000461,-118.34158773599972,0.0,0.0
34.007901202000482,-118.25903697699971,0.0,0.0
34.040123763000452,-118.26498963499972,0.0,0.0
34.028883233000442,-118.35308896599969,0.0,0.0
34.052302813000438,-118.26338632799968,0.0,0.0
34.030773311000473,-118.31686899999971,0.0064855690249846229,833.0
34.048844189000476,-118.33610868499972,0.0,0.0
34.024181938000481,-118.20195663999971,0.0,0.0
34.045181349000472,-118.45025632399972,0.0,0.0
34.076873820000458,-118.26535895999967,0.0,0.0
34.105463955000459,-118.29236751399969,0.0,0.0
34.089891456000487,-118.29490934299969,0.0,0.0
34.077521225000453,-118.21310592399971,0.0,0.0
34.048561764000453,-118.2115199969997,0.0,0.0
34.028292313000463,-118.40269589399969,0.0,0.0
34.054210271000443,-118.38387767499972,0.0,0.0
34.068892044000449,-118.35077742299967,0.13615023474178403,17487.0
34.003491021000457,-118.28709702299972,0.0,0.0
34.111603448000494,-118.26125727499971,0.0,0.0
34.135383663000482,-118.20684911499967,0.0,0.0
34.113324071000477,-118.19142869099971,0.0,0.0
33.986732336000443,-118.33290641599967,0.039263775021605586,5043.0
33.953862368000443,-118.2919460489997,0.0,0.0
34.097151960000474,-118.35826821299969,0.0,0.0
34.073163185000453,-118.37406665299972,0.0,0.0
34.061722786000473,-118.4722594319997,0.0,0.0
34.062113836000492,-118.27713826999968,0.0077857971488410841,1000.0
33.927010235000466,-118.24839605799968,0.0,0.0
33.923030210000491,-118.27377957999971,0.0,0.0
34.108813955000471,-118.22766603799971,0.0,0.0
34.002152760000456,-118.4290396619997,0.027736902342746363,3562.5
33.969582599000489,-118.17504801999968,0.0,0.0
33.912033001000452,-118.23502647699968,0.0,0.0
33.99506171100046,-118.39500957899969,0.0,0.0
34.019702237000445,-118.39595678999967,0.0,0.0
33.956204327000478,-118.11982734499969,0.0,0.0
33.940492787000437,-118.13166748599969,0.0,0.0
33.922030858000483,-118.14007941599971,0.0,0.0
33.891893900000468,-118.29849831699971,0.0,0.0
33.875443709000479,-118.28237834699968,0.0,0.0
33.900501357000451,-118.31913709299971,0.0,0.0
33.91415336400047,-118.34715803299969,0.0,0.0
33.978672351000455,-118.21899775099968,0.0,0.0
33.889130477000492,-118.3522981749997,0.35954811233348127,46180.0
33.925120157000492,-118.20319931099971,0.0,0.0
33.988500753000437,-118.1889476929997,0.0,0.0
33.763103593000437,-118.3666584179997,0.0,0.0
33.944963797000469,-118.19748997399972,0.0,0.0
33.957442653000442,-118.43916786999972,0.0,0.0
33.956721382000467,-118.35448805799967,0.0,0.0
33.973753804000467,-118.35768598199968,0.0,0.0
34.017603599000438,-118.49296772799971,0.0,0.0
34.02842266300047,-118.49353692399967,0.0,0.0
34.027840433000449,-118.4747187049997,0.0,0.0
34.010130190000439,-118.4726765529997,0.0,0.0
33.831633019000492,-118.2928193949997,0.0,0.0
33.839953705000482,-118.35390582699972,0.10607370035581093,13624.0
33.811450469000476,-118.34787930399972,0.036268578858446421,4658.3000000000002
33.971251081000446,-118.03505628899967,0.0,0.0
33.943703746000438,-117.99197990399972,0.0,0.0
33.945880594000471,-118.03256659999971,0.0,0.0
33.976391222000473,-118.06602748799969,0.0,0.0
33.84278230300049,-118.0123492889997,0.0,0.0
33.870373088000463,-117.99698969499968,0.0,0.0
33.931802776000438,-117.95265760399968,0.0,0.0
33.902673859000458,-118.00708748799968,0.0,0.0
34.014032005000445,-118.11318817799969,0.0,0.0
33.906210694000492,-118.08204752299969,0.0,0.0
33.991333696000481,-118.09123720999969,0.0,0.0
33.800961625000468,-117.99328774999969,0.0,0.0
33.866310508000481,-118.08104817099968,0.0,0.0
33.344162507000476,-118.32659746699971,0.0,0.0
33.885441567000441,-118.1283087969997,0.0,0.0
33.793801056000461,-118.3173599859997,0.0,0.0
33.798954232000483,-118.06819999099969,0.012651920366866761,1625.0
33.895374250000486,-118.16535865799972,0.0,0.0
33.732723314000452,-118.29229799399968,0.0,0.0
33.739462417000482,-118.31340603099972,0.0,0.0
33.761191790000453,-118.08841730099971,0.81235450291578104,104338.0
33.799762404000489,-118.16687940999969,0.0,0.0
33.769351710000478,-118.18452882299971,0.0,0.0
33.76151332100045,-118.1374897929997,0.0,0.0
33.781730631000471,-118.15235840199972,0.0,0.0
33.862812779000478,-118.17910625599967,0.0,0.0
33.801483026000483,-118.18919970399969,0.007591152220120057,975.0
33.832502020000447,-118.18131786399971,0.0,0.0
33.813562142000478,-118.21653847799968,0.0,0.0
33.781374341000458,-118.18660573499972,0.0,0.0
33.771432968000454,-118.15235840199972,0.0,0.0
33.793562081000459,-118.12236917399969,0.0,0.0
34.127784249000456,-118.0531358559997,0.0,0.0
34.13772127700048,-117.96655727699971,0.0,0.0
34.143630484000482,-118.00389825399969,0.0,0.0
34.209961338000483,-118.23087699599972,0.038928985744205419,5000.0
34.112050984000462,-118.15473946499969,0.0,0.0
34.259702961000471,-118.3244988299997,0.0,0.0
34.25460192400044,-118.2872577869997,0.0,0.0
34.145212066000454,-118.13830665399968,0.0,0.0
34.163721789000476,-118.15519568999969,0.073428631490435145,9431.1000000000004
34.136982626000474,-118.15917571599971,0.0,0.0
34.150760638000463,-118.09228870099969,0.0,0.0
34.169170426000449,-118.29181569799971,0.0,0.0
34.163613164000481,-118.2649592199997,0.0,0.0
34.136691511000492,-118.25949754799967,0.0,0.0
34.138533793000477,-118.24386856299969,0.0,0.0
