zip,latitude,longitude,county,region,num_facilities,zip_numbeds,zip_occup_rate,zippop,zip_afam,zip_asan,zip_hispan,zip_caucasn,zip_nativ,zip_othrace,zip_pctfem,zip_pctmale,zip_CMS_overall_rating,zip_nhoverall_rating,zip_qualityoffacility_rating,zip_abuse_current,zip_abuse_previous,zip_abuse_prior,zip_abuse_tot,zip_admin_current,zip_admin_previous,zip_admin_prior,zip_admin_tot,zip_all_current,zip_all_previous,zip_all_prior,zip_all_tot,zip_env_current,zip_env_previous,zip_env_prior,zip_env_tot,zip_ls_current,zip_ls_previous,zip_ls_prior,zip_ls_tot,zip_nursing_turnover,zip_aid_hprd,zip_N2009_Abuse,zip_N2009_Admin,zip_N2009_Care,zip_N2009_Environ,zip_N2009_Nutri,zip_N2009_Rights,zip_N2009_Staff,zip_N2009_Total,zip_N2010_Abuse,zip_N2010_Admin,zip_N2010_Care,zip_N2010_Environ,zip_N2010_Nutri,zip_N2010_Rights,zip_N2010_Staff,zip_N2010_Total,zip_N2011_Abuse,zip_N2011_Admin,zip_N2011_Care,zip_N2011_Environ,zip_N2011_Nutri,zip_N2011_Rights,zip_N2011_Staff,zip_N2011_Total,zip_N2012_Abuse,zip_N2012_Admin,zip_N2012_Care,zip_N2012_Environ,zip_N2012_Nutri,zip_N2012_Rights,zip_N2012_Staff,zip_N2012_Total,zip_N2013_Abuse,zip_N2013_Admin,zip_N2013_Care,zip_N2013_Environ,zip_N2013_Nutri,zip_N2013_Rights,zip_N2013_Staff,zip_N2013_Total
91506,34.171151749000444,-118.32244798699969,Los Angeles,Los Angeles,2,138.5,92.5,11231,3.5,7.5,17.5,73.5,0.5,15.0,77.5,22.5,3.5,2.5,2.5,0.5,1.0,0.5,2.0,0.5,0.0,0.5,1.0,17.0,18.0,19.5,54.5,1.5,1.5,1.5,4.5,4.5,5.0,5.0,14.5,40.4,2.5,0.0,0.5,1.5,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91601,34.167132618000494,-118.37252852099971,Los Angeles,Los Angeles,1,52.0,82.0,16431,5.0,2.0,2.0,93.0,0.0,0.0,74.0,26.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,12.0,9.0,6.0,27.0,2.0,2.0,1.0,5.0,3.0,3.0,1.0,7.0,57.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91604,34.14446038000045,-118.3942796179997,Los Angeles,Los Angeles,2,155.5,93.5,18073,10.0,6.0,22.0,59.5,5.0,19.5,55.5,44.5,3.0,2.5,2.0,1.0,1.0,1.0,3.0,0.0,1.5,0.0,1.5,17.5,26.5,21.0,65.0,3.0,1.5,0.5,5.0,4.0,4.5,4.5,13.0,38.7,2.3,0.0,2.0,0.5,0.5,0.0,1.0,0.0,4.0,1.5,0.0,1.5,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.5,2.0,2.0,1.0,0.0,12.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
91605,34.20546425700047,-118.40193986299971,Los Angeles,Los Angeles,2,113.5,90.0,18132,9.5,5.0,41.0,44.5,0.0,41.0,52.0,48.0,3.5,3.5,3.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,2.0,16.0,15.0,15.0,46.0,0.5,0.5,0.0,1.0,3.5,3.5,2.0,9.0,37.9,3.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
91606,34.18673293900048,-118.3868062089997,Los Angeles,Los Angeles,3,73.3,94.0,16846,11.0,8.0,25.3,51.3,0.0,29.7,51.0,49.0,2.7,2.7,3.0,0.0,0.0,0.0,0.0,1.0,0.7,0.3,2.0,16.7,15.7,13.7,46.0,1.3,1.7,1.7,4.7,3.3,4.0,3.3,10.7,30.0,2.4,0.0,0.3,2.3,0.0,0.0,0.3,0.0,3.0,0.0,1.7,1.7,0.0,0.0,0.0,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91607,34.16615064800044,-118.39933720499971,Los Angeles,Los Angeles,2,154.5,94.5,15597,9.5,2.5,22.5,59.5,0.5,28.0,52.0,48.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,13.5,24.5,23.0,61.0,1.0,2.0,1.5,4.5,3.0,7.5,6.0,16.5,30.0,2.2,1.0,0.5,2.5,0.5,0.0,1.0,0.0,5.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
91701,34.132142289000456,-117.5964583979997,San Bernardino,"Midcoast, Central & Inland",1,59.0,85.0,22925,8.0,4.0,38.0,45.0,0.0,43.0,87.0,13.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,8.0,21.0,11.0,40.0,0.0,1.0,2.0,3.0,3.0,7.0,4.0,14.0,21.6,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91706,34.08512064000047,-117.96798678299967,Los Angeles,Los Angeles,4,73.0,92.5,28038,7.3,10.3,46.3,36.0,0.3,46.3,50.0,50.0,4.3,3.0,2.8,0.3,0.5,0.0,0.8,0.3,0.3,1.8,2.3,14.8,8.8,15.0,38.5,1.0,1.0,1.5,3.5,3.3,1.0,3.8,8.0,33.8,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91711,34.10821434400049,-117.71909617899968,Los Angeles,Los Angeles,3,73.3,89.3,21443,9.0,2.0,8.0,80.7,0.0,8.3,72.0,28.0,4.0,3.7,3.3,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,11.3,12.0,12.3,35.7,0.3,0.0,0.7,1.0,3.0,3.7,3.3,10.0,36.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91722,34.09580066400048,-117.90580975499972,Los Angeles,Los Angeles,1,59.0,89.0,16218,4.0,19.0,49.0,28.0,0.0,49.0,75.0,25.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,18.0,14.0,11.0,43.0,2.0,2.0,0.0,4.0,5.0,3.0,5.0,13.0,59.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91723,34.08496422000047,-117.88642668499972,Los Angeles,Los Angeles,3,83.3,77.7,8360,5.0,14.0,35.0,47.0,0.0,34.0,64.7,35.3,2.7,3.0,2.0,0.3,0.0,0.7,1.0,0.0,0.3,2.3,2.7,14.3,16.0,20.3,50.7,0.7,2.0,1.7,4.3,1.7,5.0,3.0,9.7,44.1,2.3,0.0,0.0,0.7,0.0,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,1.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91731,34.07881169200044,-118.03912755799968,Los Angeles,Los Angeles,2,91.5,87.5,8672,3.0,46.5,32.5,18.0,0.0,32.5,57.0,43.0,2.0,2.0,1.5,0.0,0.5,0.0,0.5,0.0,0.5,1.5,2.0,16.5,18.0,17.0,51.5,2.5,1.5,1.0,5.0,3.0,3.5,3.5,10.0,44.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91732,34.07068218700044,-118.0160599249997,Los Angeles,Los Angeles,6,81.7,93.8,19006,9.4,25.6,34.4,41.4,0.0,23.6,50.2,49.8,4.3,3.8,3.7,0.3,0.2,0.0,0.5,0.5,0.3,0.5,1.3,12.0,12.2,8.0,32.2,1.3,1.5,1.0,3.8,2.3,3.2,1.8,7.3,27.6,2.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.5
91733,34.055100997000466,-118.04699636399971,Los Angeles,Los Angeles,3,63.3,86.3,12931,2.3,45.0,22.7,20.0,0.0,32.7,56.7,43.3,4.0,3.3,2.7,0.3,0.3,0.3,1.0,0.3,0.7,0.7,1.7,13.3,15.0,12.7,41.0,1.7,1.0,1.3,4.0,3.7,5.3,3.3,12.3,17.2,2.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91740,34.11709119000045,-117.85499925999972,Los Angeles,Los Angeles,4,163.0,88.3,13347,5.3,7.5,31.3,54.5,0.0,32.8,63.0,37.0,3.0,2.8,2.3,1.0,0.0,1.0,2.0,0.8,0.8,1.0,2.5,19.3,16.5,18.5,54.3,1.8,1.8,1.3,4.8,3.5,3.8,4.8,12.0,54.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0,0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.8,0.8,0.5,0.5,0.0,0.0,0.0,2.5,0.0,0.5,0.0,0.0,1.3,0.0,0.0,1.8
91741,34.139050848000466,-117.85502967499968,Los Angeles,Los Angeles,1,120.0,91.0,17109,6.0,2.0,20.0,72.0,0.0,20.0,67.0,33.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,29.0,16.0,21.0,66.0,1.0,2.0,0.0,3.0,5.0,3.0,3.0,11.0,17.8,2.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91745,33.99778168400047,-117.96604891099969,Los Angeles,Los Angeles,1,244.0,69.0,28147,7.0,16.0,40.0,37.0,0.0,40.0,56.0,44.0,4.0,3.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0,21.0,15.0,50.0,0.0,2.0,0.0,2.0,2.0,4.0,5.0,11.0,11.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
91750,34.115861554000446,-117.77047586899971,Los Angeles,Los Angeles,1,74.0,78.0,20684,0.0,3.0,6.0,97.0,0.0,0.0,71.0,29.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,11.0,11.0,13.0,35.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,9.0,21.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91754,34.05316312500048,-118.1388497799997,Los Angeles,Los Angeles,2,94.0,95.5,15293,0.0,97.5,1.5,1.0,0.0,1.5,74.0,26.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,11.0,4.0,10.0,25.0,1.0,0.5,1.0,2.5,3.0,0.5,5.0,8.5,22.3,2.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
91762,34.05779055600044,-117.6632889279997,San Bernardino,"Midcoast, Central & Inland",2,59.0,86.5,19309,8.5,6.0,20.0,73.0,0.0,12.5,72.5,27.5,4.0,4.0,3.5,1.0,0.0,1.0,2.0,1.5,0.5,1.0,3.0,13.5,12.0,18.5,44.0,0.5,0.5,1.5,2.5,4.5,3.0,7.5,15.0,33.6,2.6,0.0,0.5,4.0,0.0,0.0,0.5,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.5,0.5,0.0,0.0,0.0,3.0
91763,34.07173367800044,-117.6995175839997,San Bernardino,"Midcoast, Central & Inland",2,99.5,86.0,12068,10.5,6.5,35.0,48.0,0.0,35.0,54.5,45.5,3.0,2.5,2.0,0.5,0.5,1.0,2.0,0.5,2.0,2.5,5.0,17.0,24.0,28.0,69.0,1.5,1.5,0.5,3.5,7.0,6.0,11.5,24.5,36.6,2.6,2.0,2.0,2.0,0.0,0.0,0.5,0.0,6.5,1.0,1.0,0.5,0.0,0.0,0.5,0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,1.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,2.0
91764,34.07463179600046,-117.61381669499968,San Bernardino,"Midcoast, Central & Inland",2,137.5,87.5,16088,14.0,6.0,37.0,42.5,0.5,37.0,62.5,37.5,3.5,3.5,2.5,0.0,0.0,0.5,0.5,2.0,0.5,0.5,3.0,17.5,13.0,16.0,46.5,1.0,0.5,1.5,3.0,3.5,4.5,4.0,12.0,47.8,2.2,0.5,0.0,1.5,0.0,0.0,1.5,0.0,3.5,1.0,3.5,1.5,0.5,0.0,1.5,0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.5,2.0,0.0,1.0,1.0,0.0,8.5,1.0,1.5,6.5,0.0,0.0,2.0,0.0,11.0
91766,34.044181998000454,-117.7523962999997,Los Angeles,Los Angeles,2,111.0,99.5,23192,21.5,6.5,32.0,38.0,1.0,33.0,35.5,64.5,3.5,2.0,1.5,1.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,17.0,15.0,22.5,54.5,1.5,0.5,2.5,4.5,3.5,3.5,4.0,11.0,37.8,2.4,1.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.5,0.0,0.0,0,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,1.5,1.5,0.0,0.0,0.0,0.0,4.5
91767,34.08076260000047,-117.73770583699968,Los Angeles,Los Angeles,4,79.0,88.3,19007,10.7,6.3,20.0,61.3,0.3,21.3,64.3,35.8,4.7,4.0,4.0,0.3,0.0,0.0,0.3,0.5,0.3,0.0,0.8,6.3,8.3,4.5,19.0,0.5,0.5,0.0,1.0,1.3,2.3,1.5,5.0,34.3,2.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3
91768,34.063960463000456,-117.77899642499972,Los Angeles,Los Angeles,6,148.5,81.7,11333,14.0,6.4,38.0,46.4,0.6,32.6,52.4,47.6,3.3,2.8,2.3,0.7,0.2,0.7,1.5,0.2,0.3,1.0,1.5,17.8,15.7,17.0,50.5,2.0,1.7,2.7,6.3,4.8,5.2,4.8,14.8,28.3,2.4,0.2,1.5,1.3,0.0,0.0,0.0,0.0,3.0,0.2,0.3,0.3,0.0,0.3,0.0,0,1.2,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.5,1.3,0.8,0.7,0.0,0.0,0.0,3.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
91770,34.06563329100044,-118.08368993499971,Los Angeles,Los Angeles,5,90.0,94.6,23007,6.2,46.8,15.4,30.8,0.6,15.6,53.6,46.4,4.6,4.0,3.8,0.0,0.0,0.2,0.2,0.4,0.8,1.0,2.2,10.4,11.4,11.0,32.8,2.2,1.8,1.8,5.8,2.8,3.6,2.6,9.0,18.8,2.5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91773,34.103161103000446,-117.81483837499968,Los Angeles,Los Angeles,2,75.5,91.0,19880,6.0,7.5,18.0,68.5,0.0,18.0,62.5,37.5,3.0,2.0,1.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,2.0,15.0,15.5,14.5,45.0,1.0,1.0,0.5,2.5,4.5,2.5,2.5,9.5,36.2,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91775,34.11565299400047,-118.08573643299968,Los Angeles,Los Angeles,3,77.3,94.7,12095,3.7,31.3,39.3,39.7,0.0,25.3,70.7,29.3,3.3,3.7,3.3,0.0,0.0,0.3,0.3,0.7,0.3,1.0,2.0,12.3,10.7,10.3,33.3,1.7,1.3,1.3,4.3,3.0,2.7,2.0,7.7,105.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91776,34.089800211000465,-118.09671626199969,Los Angeles,Los Angeles,5,72.0,79.0,13207,3.8,38.0,26.8,32.4,0.0,25.8,64.6,35.4,3.6,3.2,2.6,1.0,0.0,0.6,1.6,0.4,0.0,0.6,1.0,13.6,15.0,13.0,41.6,1.6,1.2,1.8,4.6,1.4,3.6,2.6,7.6,38.0,3.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,0.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4
91780,34.101653386000464,-118.05552995399972,Los Angeles,Los Angeles,3,169.7,94.3,16352,4.3,27.0,24.7,49.3,0.0,19.3,65.3,34.7,2.3,2.3,2.3,0.3,0.0,0.3,0.7,0.7,0.0,0.7,1.3,17.3,15.3,17.0,49.7,1.3,1.7,1.3,4.3,4.0,3.3,4.7,12.0,35.8,2.6,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91786,34.10199229600045,-117.65981726899969,San Bernardino,"Midcoast, Central & Inland",3,125.0,93.0,20992,9.0,3.7,20.3,58.7,0.0,28.7,73.0,27.0,3.0,2.3,2.0,1.0,0.0,1.3,2.3,1.7,2.7,1.3,5.7,16.0,21.7,22.3,60.0,0.3,1.3,1.0,2.7,5.0,5.0,7.7,17.7,31.6,2.9,0.0,0.7,1.7,0.0,0.0,0.0,0.0,2.3,0.0,2.0,2.0,0.0,0.0,0.0,0,4.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,1.7,1.7,2.3,0.0,0.0,1.3,0.0,7.0,0.0,2.7,1.7,0.0,0.0,2.0,0.0,6.3
91790,34.06664133200047,-117.93768905999968,Los Angeles,Los Angeles,5,66.2,85.2,21130,2.8,8.6,39.0,53.2,0.0,35.4,69.0,31.0,3.8,4.2,3.2,0.2,0.2,0.2,0.6,0.4,1.2,0.8,2.4,11.6,15.0,11.2,37.8,0.6,1.6,0.8,3.0,2.6,3.2,2.2,8.0,37.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91791,34.06350423700047,-117.89805826499969,Los Angeles,Los Angeles,1,10.0,74.0,16691,0.0,17.0,17.0,66.0,0.0,17.0,50.0,50.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91801,34.09389320600047,-118.12939939299969,Los Angeles,Los Angeles,4,66.5,88.5,21826,0.3,32.5,20.3,46.3,0.0,21.0,77.5,22.5,3.8,4.0,3.3,0.3,1.0,0.5,1.8,0.5,0.3,0.0,0.8,14.0,12.8,9.0,35.8,0.8,0.5,0.3,1.5,4.3,2.0,2.5,8.8,69.5,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91803,34.07533134300047,-118.1443071059997,Los Angeles,Los Angeles,2,71.0,93.0,13150,2.0,52.5,22.5,23.0,0.0,22.5,70.5,29.5,4.5,2.5,2.0,1.0,0.5,0.5,2.0,1.0,1.5,0.5,3.0,18.0,14.0,15.0,47.0,1.0,1.0,2.5,4.5,3.5,3.0,6.5,13.0,62.3,2.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91910,32.638750864000485,-117.06695864799968,San Diego,San Diego/Imperial,2,136.5,95.0,33138,4.0,8.5,42.0,75.0,0.5,12.0,61.5,38.5,3.0,2.5,2.0,0.0,1.5,1.0,2.5,4.5,1.0,1.0,6.5,30.0,17.5,20.0,67.5,1.0,0.5,1.0,2.5,5.5,7.0,9.5,22.0,21.2,2.7,0.0,0.5,1.0,0.0,0.0,0.5,0.0,2.0,0.0,1.0,3.0,0.5,0.0,1.0,0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,5.0,0.0,0.0,5.0,0.0,13.5,0.0,0.0,6.0,0.0,0.0,4.5,0.0,10.5
91911,32.60779270000046,-117.06010657499968,San Diego,San Diego/Imperial,2,140.0,93.0,32931,4.5,7.0,28.5,58.5,0.5,29.5,39.0,61.0,3.5,5.0,2.5,0.0,0.5,0.0,0.5,5.0,1.5,1.0,7.5,23.0,16.0,12.0,51.0,1.0,0.0,0.0,1.0,3.5,9.5,5.5,18.5,,3.1,0.0,2.5,3.0,1.0,0.0,0.5,0.0,7.0,0.5,5.0,0.5,0.0,0.0,0.5,0,6.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.5,4.0,0.0,0.0,3.5,0.0,10.0,0.5,1.5,5.0,0.0,0.0,0.0,0.0,7.0
91941,32.759303042000454,-117.00408641899969,San Diego,San Diego/Imperial,1,94.0,92.0,18357,14.0,8.0,20.0,47.0,0.0,31.0,67.0,33.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,5.0,13.0,12.0,30.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,62.1,2.4,0.0,0.0,6.0,2.0,0.0,2.0,0.0,10.0,1.0,1.0,3.0,0.0,0.0,3.0,0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,9.0
91942,32.77484078200047,-117.02488595999972,San Diego,San Diego/Imperial,7,76.7,80.4,20375,5.4,3.0,8.4,78.4,1.1,12.0,67.6,32.4,4.5,4.1,4.1,0.1,0.1,0.1,0.4,0.7,0.6,0.6,1.9,8.9,7.6,9.3,25.7,0.3,0.3,0.3,0.9,3.4,3.6,4.0,11.0,50.1,2.4,1.3,0.4,1.4,0.0,0.0,1.1,0.0,4.3,0.3,0.7,1.0,0.1,0.0,0.4,0,2.6,0.1,0.4,0.1,0.0,0.0,0.3,0.0,1.0,1.9,1.1,0.9,0.0,0.0,0.9,0.0,4.7,1.0,1.3,0.9,0.0,0.0,0.4,0.0,3.6
