zip,latitude,longitude,county,region,num_facilities,zip_numbeds,zip_occup_rate,zippop,zip_afam,zip_asan,zip_hispan,zip_caucasn,zip_nativ,zip_othrace,zip_pctfem,zip_pctmale,zip_CMS_overall_rating,zip_nhoverall_rating,zip_qualityoffacility_rating,zip_abuse_current,zip_abuse_previous,zip_abuse_prior,zip_abuse_tot,zip_admin_current,zip_admin_previous,zip_admin_prior,zip_admin_tot,zip_all_current,zip_all_previous,zip_all_prior,zip_all_tot,zip_env_current,zip_env_previous,zip_env_prior,zip_env_tot,zip_ls_current,zip_ls_previous,zip_ls_prior,zip_ls_tot,zip_nursing_turnover,zip_aid_hprd,zip_N2009_Abuse,zip_N2009_Admin,zip_N2009_Care,zip_N2009_Environ,zip_N2009_Nutri,zip_N2009_Rights,zip_N2009_Staff,zip_N2009_Total,zip_N2010_Abuse,zip_N2010_Admin,zip_N2010_Care,zip_N2010_Environ,zip_N2010_Nutri,zip_N2010_Rights,zip_N2010_Staff,zip_N2010_Total,zip_N2011_Abuse,zip_N2011_Admin,zip_N2011_Care,zip_N2011_Environ,zip_N2011_Nutri,zip_N2011_Rights,zip_N2011_Staff,zip_N2011_Total,zip_N2012_Abuse,zip_N2012_Admin,zip_N2012_Care,zip_N2012_Environ,zip_N2012_Nutri,zip_N2012_Rights,zip_N2012_Staff,zip_N2012_Total,zip_N2013_Abuse,zip_N2013_Admin,zip_N2013_Care,zip_N2013_Environ,zip_N2013_Nutri,zip_N2013_Rights,zip_N2013_Staff,zip_N2013_Total
90025,34.04518134900047,-118.45025632399972,Los Angeles,Los Angeles,2,104.5,89.5,21742,35.0,4.5,26.5,50.5,0.0,10.0,58.0,42.0,3.5,3.0,2.0,0.5,0.0,0.0,0.5,0.5,2.0,1.5,4.0,16.5,24.0,21.5,62.0,0.5,1.0,0.5,2.0,4.5,9.5,6.5,20.5,29.7,2.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.0,0.5,1.0,0.0,0.5,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,2.0,2.0,0.0,0.0,0.0,0.0,4.5
90026,34.07687382000046,-118.26535895999967,Los Angeles,Los Angeles,2,85.5,89.0,29158,10.5,36.5,17.0,36.0,0.0,17.0,60.5,39.5,3.5,3.5,3.0,1.0,0.5,0.0,1.5,0.0,0.5,0.5,1.0,13.0,16.0,13.5,42.5,1.5,0.5,1.5,3.5,3.5,3.5,2.0,9.0,29.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
90027,34.10546395500046,-118.2923675139997,Los Angeles,Los Angeles,2,168.0,94.0,24579,19.5,10.0,19.0,31.5,0.0,39.0,58.5,41.5,1.5,1.5,1.5,0.5,0.0,0.5,1.0,1.0,0.5,0.0,1.5,27.0,19.5,18.5,65.0,2.0,1.5,1.5,5.0,6.5,6.0,3.5,16.0,24.0,2.4,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,5.5,0.0,0.0,4.0,0.0,11.5
90029,34.08989145600049,-118.29490934299969,Los Angeles,Los Angeles,6,93.5,90.5,12646,20.8,16.0,26.5,32.5,0.0,30.7,59.0,41.0,2.5,3.0,2.5,0.3,0.7,0.2,1.2,0.3,0.3,0.5,1.2,17.3,14.5,16.3,48.2,1.5,1.5,2.0,5.0,3.8,3.5,3.7,11.0,45.5,2.2,0.0,0.0,0.7,0.0,0.0,1.3,0.0,2.0,0.0,0.3,0.2,0.3,0.0,0.0,0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.8,0.0,0.0,0.2,0.0,1.3,0.3,0.0,1.3,0.5,0.0,0.3,0.0,2.5
90031,34.07752122500045,-118.2131059239997,Los Angeles,Los Angeles,1,300.0,94.0,13407,0.0,100.0,0.0,0.0,0.0,0.0,77.0,23.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,18.0,17.0,51.0,1.0,3.0,3.0,7.0,8.0,6.0,7.0,21.0,3.2,2.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0
90033,34.04856176400045,-118.2115199969997,Los Angeles,Los Angeles,4,80.5,86.5,13863,4.5,32.5,42.3,21.8,0.0,41.3,67.0,33.0,3.8,4.3,3.8,0.0,0.8,0.3,1.0,0.0,0.3,0.3,0.5,11.5,14.5,12.3,38.3,1.0,0.8,1.3,3.0,4.0,3.5,4.3,11.8,27.9,2.7,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.8,0.5,0.8,0.0,0.0,0.0,0.0,0.0,1.3
90034,34.02829231300046,-118.40269589399969,Los Angeles,Los Angeles,2,93.0,90.0,27120,37.5,5.5,15.0,42.0,2.5,12.5,58.5,41.5,2.5,2.0,2.0,0.0,0.5,0.5,1.0,1.0,0.5,0.0,1.5,20.5,18.5,17.5,56.5,2.0,1.0,0.5,3.5,8.0,4.5,7.5,20.0,74.3,2.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.5,0.5,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,1.5,0.0,0.0,0.5,0.0,4.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0
90035,34.05421027100044,-118.38387767499972,Los Angeles,Los Angeles,3,49.7,90.0,16835,35.7,6.0,8.7,48.7,1.0,8.7,51.0,49.0,4.3,3.3,3.3,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.7,11.7,12.0,15.3,39.0,1.3,1.3,1.0,3.7,2.3,5.3,3.0,10.7,70.6,2.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,0.3,0.3,1.0,0.3,0.0,0.7,0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.0,4.0
90036,34.06889204400045,-118.35077742299967,Los Angeles,Los Angeles,3,110.3,90.3,19850,27.0,4.0,9.3,61.0,0.0,8.0,62.7,37.3,2.3,1.7,1.3,1.3,0.3,0.7,2.3,2.0,0.0,1.0,3.0,19.3,15.0,19.7,54.0,1.3,1.0,0.7,3.0,2.7,5.0,7.7,15.3,34.7,2.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.7,0.0,0.0,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.3,2.3,0.3,0.0,0.0,0.0,6.3,1.0,0.7,2.0,0.7,0.0,0.7,0.0,5.0
90037,34.00349102100046,-118.28709702299972,Los Angeles,Los Angeles,1,99.0,95.0,19792,53.0,6.0,16.0,25.0,0.0,16.0,47.0,53.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,3.0,26.0,38.0,2.0,0.0,2.0,4.0,1.0,1.0,9.0,11.0,55.6,2.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
