id,latitude,longitude,norm_score
0,34.07572239300049,-118.30301712299968,1187073
1,34.05010424100044,-118.2926890439997,1187073
2,34.01097312100046,-118.34158773599972,1187073
3,34.00790120200048,-118.25903697699971,1187073
4,34.04012376300045,-118.26498963499972,1187073
5,34.02888323300044,-118.35308896599969,1187073
6,34.05230281300044,-118.26338632799968,1187073
7,34.03077331100047,-118.31686899999971,1187073
8,34.04884418900048,-118.33610868499972,1187073
9,34.02418193800048,-118.20195663999971,1187073
10,34.04518134900047,-118.45025632399972,1187073
11,34.07687382000046,-118.26535895999967,1187073
12,34.10546395500046,-118.2923675139997,1187073
13,34.08989145600049,-118.29490934299969,1187073
14,34.07752122500045,-118.2131059239997,1187073
15,34.04856176400045,-118.2115199969997,1187073
16,34.02829231300046,-118.40269589399969,1187073
17,34.05421027100044,-118.38387767499972,1187073
18,34.06889204400045,-118.35077742299967,1187073
19,34.00349102100046,-118.28709702299972,1187073
20,34.111603448000494,-118.2612572749997,1187073
21,34.13538366300048,-118.20684911499967,1187073
22,34.11332407100048,-118.19142869099971,1187073
23,33.98673233600044,-118.33290641599967,1187073
24,33.95386236800044,-118.2919460489997,1187073
25,34.097151960000474,-118.35826821299969,1187073
26,34.07316318500045,-118.37406665299972,1187073
27,34.06172278600047,-118.4722594319997,1187073
28,34.06211383600049,-118.27713826999968,1187073
29,33.927010235000466,-118.24839605799968,1187073
30,33.92303021000049,-118.27377957999971,1187073
31,34.10881395500047,-118.22766603799971,1187073
32,34.002152760000456,-118.4290396619997,1187073
33,33.96958259900049,-118.17504801999968,1187073
34,33.91203300100045,-118.23502647699968,1187073
35,33.99506171100046,-118.39500957899969,1187073
36,34.019702237000445,-118.39595678999967,1187073
37,33.95620432700048,-118.11982734499969,1187073
38,33.94049278700044,-118.13166748599969,1187073
39,33.92203085800048,-118.14007941599971,1187073
40,33.89189390000047,-118.29849831699971,1187073
41,33.87544370900048,-118.28237834699968,1187073
42,33.90050135700045,-118.31913709299971,1187073
43,33.91415336400047,-118.34715803299969,1187073
44,33.978672351000455,-118.21899775099968,1187073
45,33.88913047700049,-118.3522981749997,1187073
46,33.92512015700049,-118.20319931099971,1187073
47,33.98850075300044,-118.1889476929997,1187073
48,33.76310359300044,-118.3666584179997,1187073
49,33.94496379700047,-118.19748997399972,1187073
