latitude,longitude,norm_score
34.07572239300049,-118.30301712299968,1099906
34.05010424100044,-118.2926890439997,1099906
34.01097312100046,-118.34158773599972,1099906
34.00790120200048,-118.25903697699971,1099906
34.04012376300045,-118.26498963499972,1099906
34.02888323300044,-118.35308896599969,1099906
34.05230281300044,-118.26338632799968,1099906
34.03077331100047,-118.31686899999971,1099906
34.04884418900048,-118.33610868499972,1099906
34.02418193800048,-118.20195663999971,1099906
34.04518134900047,-118.45025632399972,1099906
34.07687382000046,-118.26535895999967,1099906
34.10546395500046,-118.2923675139997,1099906
34.08989145600049,-118.29490934299969,1099906
34.07752122500045,-118.2131059239997,1099906
34.04856176400045,-118.2115199969997,1099906
34.02829231300046,-118.40269589399969,1099906
34.05421027100044,-118.38387767499972,1099906
34.06889204400045,-118.35077742299967,1099906
34.00349102100046,-118.28709702299972,1099906
34.111603448000494,-118.2612572749997,1099906
34.13538366300048,-118.20684911499967,1099906
34.11332407100048,-118.19142869099971,1099906
33.98673233600044,-118.33290641599967,1099906
33.95386236800044,-118.2919460489997,1099906
34.097151960000474,-118.35826821299969,1099906
34.07316318500045,-118.37406665299972,1099906
34.06172278600047,-118.4722594319997,1099906
34.06211383600049,-118.27713826999968,1099906
33.927010235000466,-118.24839605799968,1099906
33.92303021000049,-118.27377957999971,1099906
34.10881395500047,-118.22766603799971,1099906
34.002152760000456,-118.4290396619997,1099906
33.96958259900049,-118.17504801999968,1099906
33.91203300100045,-118.23502647699968,1099906
33.99506171100046,-118.39500957899969,1099906
34.019702237000445,-118.39595678999967,1099906
33.95620432700048,-118.11982734499969,1099906
33.94049278700044,-118.13166748599969,1099906
33.92203085800048,-118.14007941599971,1099906
33.89189390000047,-118.29849831699971,1099906
33.87544370900048,-118.28237834699968,1099906
33.90050135700045,-118.31913709299971,1099906
33.91415336400047,-118.34715803299969,1099906
33.978672351000455,-118.21899775099968,1099906
33.88913047700049,-118.3522981749997,1099906
33.92512015700049,-118.20319931099971,1099906
33.98850075300044,-118.1889476929997,1099906
33.76310359300044,-118.3666584179997,1099906
33.94496379700047,-118.19748997399972,1099906
33.95744265300044,-118.43916786999972,1099906
33.95672138200047,-118.35448805799967,1099906
33.97375380400047,-118.35768598199968,1099906
34.01760359900044,-118.49296772799971,1099906
34.02842266300047,-118.49353692399967,1099906
34.02784043300045,-118.4747187049997,1099906
34.01013019000044,-118.4726765529997,1099906
33.83163301900049,-118.2928193949997,1099906
33.83995370500048,-118.35390582699972,1099906
33.81145046900048,-118.34787930399972,1099906
33.971251081000446,-118.03505628899967,1099906
33.94370374600044,-117.99197990399972,1099906
33.94588059400047,-118.03256659999971,1099906
33.97639122200047,-118.06602748799969,1099906
33.84278230300049,-118.0123492889997,363843
33.87037308800046,-117.99698969499968,363843
33.93180277600044,-117.95265760399968,1099906
33.93180277600044,-117.95265760399968,363843
33.90267385900046,-118.00708748799968,1099906
33.90267385900046,-118.00708748799968,363843
34.014032005000445,-118.11318817799969,1099906
33.90621069400049,-118.08204752299969,1099906
33.99133369600048,-118.09123720999969,1099906
33.80096162500047,-117.9932877499997,363843
33.86631050800048,-118.08104817099968,1099906
33.344162507000476,-118.32659746699971,1099906
33.88544156700044,-118.1283087969997,1099906
33.79380105600046,-118.3173599859997,1099906
33.79895423200048,-118.06819999099969,363843
33.895374250000486,-118.16535865799972,1099906
33.73272331400045,-118.29229799399968,1099906
33.73946241700048,-118.31340603099972,1099906
33.76119179000045,-118.08841730099971,363843
33.79976240400049,-118.1668794099997,1099906
33.76935171000048,-118.18452882299971,1099906
33.76151332100045,-118.1374897929997,1099906
33.78173063100047,-118.15235840199972,1099906
33.86281277900048,-118.17910625599967,1099906
33.80148302600048,-118.18919970399969,1099906
33.83250202000045,-118.18131786399971,1099906
33.81356214200048,-118.21653847799968,1099906
33.78137434100046,-118.18660573499972,1099906
33.771432968000454,-118.15235840199972,1099906
33.79356208100046,-118.12236917399969,1099906
34.127784249000456,-118.0531358559997,1099906
