latitude,longitude,label,image
34.007901202000482,-118.25903697699971,low,low
34.076873820000458,-118.26535895999967,low,low
34.068892044000449,-118.35077742299967,low,low
34.113324071000477,-118.19142869099971,low,low
33.986732336000443,-118.33290641599967,low,low
34.108813955000471,-118.22766603799971,low,low
34.002152760000456,-118.4290396619997,low,low
33.99506171100046,-118.39500957899969,low,low
33.875443709000479,-118.28237834699968,low,low
33.889130477000492,-118.3522981749997,low,low
33.944963797000469,-118.19748997399972,low,low
33.973753804000467,-118.35768598199968,low,low
34.017603599000438,-118.49296772799971,low,low
34.010130190000439,-118.4726765529997,low,low
33.902673859000458,-118.00708748799968,low,low
33.866310508000481,-118.08104817099968,low,low
33.798954232000483,-118.06819999099969,low,low
33.732723314000452,-118.29229799399968,low,low
33.761191790000453,-118.08841730099971,low,low
33.781730631000471,-118.15235840199972,low,low
33.781374341000458,-118.18660573499972,low,low
34.25460192400044,-118.2872577869997,low,low
34.163721789000476,-118.15519568999969,low,low
34.169170426000449,-118.29181569799971,low,low
34.163613164000481,-118.2649592199997,low,low
34.208401481000465,-118.5759399529997,low,low
34.385521285000493,-118.51401927999967,low,low
34.200180731000444,-118.54031959799971,low,low
34.262123129000486,-118.46175755399969,low,low
34.225512113000491,-118.37651723499971,low,low
34.167132618000494,-118.37252852099971,low,low
34.144460380000453,-118.3942796179997,low,low
34.132142289000456,-117.5964583979997,low,low
34.095800664000478,-117.90580975499972,low,low
34.078811692000443,-118.03912755799968,low,low
34.055100997000466,-118.04699636399971,low,low
33.997781684000472,-117.96604891099969,low,low
34.053163125000481,-118.1388497799997,low,low
34.057790556000441,-117.6632889279997,low,low
34.071733678000442,-117.69951758399969,low,low
34.07463179600046,-117.61381669499968,low,low
34.103161103000446,-117.81483837499968,low,low
34.063504237000473,-117.89805826499969,low,low
34.093893206000473,-118.12939939299969,low,low
34.075331343000471,-118.1443071059997,low,low
32.794853877000492,-116.96692793199969,low,low
33.111183312000492,-117.07192933499971,low,low
33.167412028000456,-117.10243996299971,low,low
32.845442776000482,-117.25443694499972,low,low
32.973702993000472,-117.04030638499972,low,low
33.127581363000445,-117.19004830899968,low,low
33.212952031000441,-117.2223099739997,low,low
32.71385428400049,-117.12178827199972,low,low
32.808010553000486,-117.13417588299967,low,low
32.945912337000436,-117.22171905399972,low,low
33.925363478000463,-116.89273696299972,low,low
33.949791099000493,-116.97655646399971,low,low
32.845481881000467,-115.57421897399968,low,low
33.766840297000442,-116.42074770499971,low,low
34.148092804000441,-116.41266599499971,low,low
34.464422240000488,-117.19576633599968,low,low
34.089522130000489,-117.44872821099972,low,low
34.070643082000458,-117.11271590099972,low,low
34.064073434000477,-117.1690966919997,low,low
34.02913089900045,-117.04659795299972,low,low
34.17619195500049,-117.33384626599968,low,low
34.121384056000466,-117.3181694859997,low,low
33.925432998000474,-117.40731596399968,low,low
33.944272942000453,-117.37571908399968,low,low
33.996343487000445,-117.4464166679997,low,low
33.903151810000452,-117.26446956299969,low,low
33.741113519000464,-116.97425795599969,low,low
33.744871949000469,-117.01592655799971,low,low
33.816651441000488,-117.21306814799971,low,low
33.786462342000448,-116.98930905499969,low,low
33.705701724000448,-117.19708721799969,low,low
33.46146027600048,-117.66786856399972,low,low
33.647443891000478,-117.91895774199969,low,low
33.748052493000444,-117.86104750899972,low,low
33.767070582000486,-117.79268753699972,low,low
33.710403020000456,-117.95119768299969,low,low
33.737520200000461,-117.82121684299972,low,low
33.818511103000446,-117.97880584699971,low,low
33.881392022000455,-117.89174931699972,low,low
33.867140404000452,-117.92859930899971,low,low
33.78596266700049,-117.97861901199968,low,low
33.889921268000478,-117.8068957049997,low,low
34.221962243000462,-118.99052734299971,low,low
34.400133539000478,-118.91721840999969,low,low
34.443262063000475,-119.25899654199969,low,low
34.278951335000443,-118.69709608699969,low,low
34.441380676000449,-119.76407736199968,low,low
34.440550780000478,-119.80468578299968,low,low
35.195230440000444,-118.83700960899972,low,low
36.334851518000448,-119.64951694699971,low,low
35.498464029000445,-119.27825795199971,low,low
36.205522429000496,-119.3414995069997,low,low
36.343624084000453,-119.32716967899972,low,low
35.383290968000495,-119.01863952799971,low,low
35.342691237000452,-119.02330606399971,low,low
35.390051797000467,-118.92959733099968,low,low
35.341040135000469,-119.06289775399972,low,low
34.952653128000463,-120.44576961999968,low,low
37.380663927000455,-118.42240918399972,low,low
34.688163953000469,-118.23417919999969,low,low
35.622461796000493,-117.68225922199969,low,low
37.071334295000497,-119.44304662999969,low,low
36.540630978000479,-119.39171908099968,low,low
36.997321472000465,-120.62650881399969,low,low
36.513622424000459,-119.54894744999967,low,low
36.945533351000449,-120.0866462249997,low,low
36.984990346000473,-120.05618773699968,low,low
36.703290604000472,-119.81781639099972,low,low
36.821991809000451,-119.76609778999972,low,low
36.595673508000459,-121.87999945099972,low,low
36.618893217000448,-121.92096850699971,low,low
37.517201379000483,-122.28965960399972,low,low
37.600660245000483,-122.40023999399972,low,low
37.766821945000459,-122.39533882799969,low,low
37.752791923000473,-122.41730717599972,low,low
37.538800401000458,-122.3007176429997,low,low
37.806044310000459,-121.91160936499972,low,low
37.999071179000453,-121.8136990109997,low,low
37.951623719000452,-122.02762970199973,low,low
37.953413861000456,-122.07119707199968,low,low
38.292880451000485,-122.28639650499969,low,low
37.880170103000466,-122.17815807299968,low,low
37.591092543000457,-122.04430583299973,low,low
37.801360394000483,-122.21143646999968,low,low
37.795512017000476,-122.24474962699969,low,low
37.754612480000446,-122.19034581299968,low,low
37.866031456000485,-122.28666589499971,low,low
37.866522442000473,-122.26218613399971,low,low
37.925180015000478,-122.33729824399973,low,low
37.949390386000459,-122.53453976899971,low,low
37.281610837000471,-121.95186584099969,low,low
37.229283935000467,-121.98270669099969,low,low
37.392512756000485,-121.95914807099967,low,low
37.270300787000451,-122.02120778399973,low,low
38.021052562000477,-121.2972299329997,low,low
37.379990450000491,-120.72347630199971,low,low
37.317643967000492,-121.02348589599973,low,low
37.991363139000498,-120.3490063479997,low,low
37.738562029000491,-121.43297659399968,low,low
37.491813513000466,-120.85197983899968,low,low
38.479633132000458,-122.7480967889997,low,low
38.410191255000484,-122.7332976999997,low,low
38.460371723000492,-122.64228721599972,low,low
38.958900274000484,-122.63950641199972,low,low
38.617152557000452,-122.86715862999972,low,low
39.055802587000471,-122.91709577799969,low,low
38.293210672000498,-122.4715893289997,low,low
39.150693162000493,-123.20380965599969,low,low
39.425931881000452,-123.36390572899973,low,low
41.777892047000478,-124.18144892899971,low,low
38.984162136000464,-121.08980805999971,low,low
38.629800867000483,-121.3311296659997,low,low
38.551430003000462,-121.7107093459997,low,low
38.673081467000486,-121.15349715099973,low,low
38.603013909000481,-121.28309997499969,low,low
38.568992516000492,-121.44038917399968,low,low
38.516961075000495,-121.44405635899972,low,low
38.640871942000445,-121.44308742199968,low,low
38.660963247000495,-121.34315664099972,low,low
39.74392110800045,-121.84796806999969,low,low
39.266613564000465,-121.66556908399969,low,low
39.937660558000459,-120.9150475939997,low,low
39.522391002000461,-122.19828848299971,low,low
39.126013531000467,-121.62254918399969,low,low
40.561751078000498,-122.40067883999973,low,low
